0.362,0.95302,0.97712,0.97492
0.366,0.95708,0.98996,0.95692
0.37,0.95592,0.97764,0.95287
0.374,0.94954,0.97682,0.95607
0.378,0.90023,0.99528,0.95338
0.382,0.9855,0.97616,0.96653
0.386,0.94664,0.97867,0.95497
0.39,0.971,0.978,0.95309
0.394,0.9797,0.98169,0.95206
0.398,0.92227,0.97358,0.94042
0.402,0.92459,0.99063,0.95169
0.406,1,0.97808,0.93276
0.41,0.9594,0.96442,0.93243
0.414,0.92691,0.96169,0.93475
0.418,0.94084,0.96154,0.92669
0.422,0.97564,0.98014,0.9265
0.426,0.92285,0.95276,0.91579
0.43,0.9391,0.96627,0.91604
0.434,0.92169,0.9721,0.92256
0.438,0.91531,0.95313,0.91225
0.442,0.91357,0.95453,0.91255
0.446,0.91705,0.94287,0.91361
0.45,0.96114,0.94287,0.90154
0.454,0.91183,0.93158,0.89531
0.458,0.90371,0.94353,0.88865
0.462,0.90313,0.93918,0.89443
0.466,0.92807,0.93933,0.88456
0.47,0.91937,0.93534,0.88033
0.474,0.92169,0.94309,0.88309
0.478,0.99478,0.93792,0.87561
0.482,0.91299,0.94006,0.88618
0.486,0.92053,0.93276,0.86195
0.49,0.91299,0.94353,0.85823
0.494,0.96288,0.92545,0.86755
0.498,0.92517,0.93069,0.86085
0.502,0.89443,0.93209,0.86088
0.506,0.88747,0.92161,0.8597
0.51,0.92111,0.92464,0.86099
0.514,0.90023,0.90619,0.84464
0.518,0.94142,0.91128,0.84472
0.522,0.91647,0.92493,0.85197
0.526,0.90893,0.91209,0.84453
0.53,0.91589,0.90611,0.84089
0.534,0.90371,0.90929,0.84733
0.538,0.86833,0.89976,0.83345
0.542,0.92169,0.90006,0.83293
0.546,0.89211,0.90323,0.81427
0.55,0.89501,0.8991,0.81876
0.554,0.85963,0.90139,0.81688
0.558,0.88631,0.90124,0.80955
0.562,0.90255,0.88227,0.82303
0.566,0.87355,0.87865,0.80598
0.57,0.83295,0.88596,0.80473
0.574,0.85267,0.88943,0.80712
0.578,0.90371,0.876,0.78484
0.582,0.88979,0.86751,0.79648
0.586,0.87819,0.88987,0.78687
0.59,0.87587,0.8647,0.79088
0.594,0.90023,0.86906,0.77111
0.598,0.85789,0.85791,0.77059
0.602,0.91473,0.85216,0.77932
0.606,0.85151,0.84418,0.77059
0.61,0.87587,0.85201,0.76772
0.614,0.82483,0.8495,0.7661
0.618,0.83643,0.84824,0.751
0.622,0.84919,0.85171,0.74762
0.626,0.82889,0.83496,0.76032
0.63,0.81555,0.83717,0.75369
0.634,0.86485,0.84123,0.75023
0.638,0.85209,0.83629,0.74139
0.642,0.86021,0.83296,0.73521
0.646,0.82483,0.82462,0.74879
0.65,0.808,0.8196,0.73882
0.654,0.82657,0.81591,0.72961
0.658,0.84107,0.83629,0.73049
0.662,0.83643,0.80934,0.72166
0.666,0.80742,0.83437,0.71956
0.67,0.85615,0.81614,0.71587
0.674,0.81439,0.81392,0.71536
0.678,0.80162,0.80743,0.71503
0.682,0.83643,0.81606,0.7088
0.686,0.84049,0.80167,0.69043
0.69,0.80684,0.81665,0.70917
0.694,0.83295,0.81178,0.70667
0.698,0.82483,0.80735,0.70324
0.702,0.80452,0.79931,0.69835
0.706,0.78306,0.78292,0.69408
0.71,0.82657,0.80898,0.68266
0.714,0.81961,0.78536,0.68307
0.718,0.84339,0.80506,0.68019
0.722,0.82251,0.80196,0.67905
0.726,0.80568,0.77022,0.67721
0.73,0.78422,0.78949,0.66911
0.734,0.81206,0.77414,0.66775
0.738,0.79698,0.7872,0.66403
0.742,0.81613,0.77805,0.66557
0.746,0.77494,0.76779,0.66086
0.75,0.78538,0.77458,0.64827
0.754,0.779,0.76624,0.65832
0.758,0.81381,0.75701,0.65556
0.762,0.78712,0.76506,0.65644
0.766,0.78886,0.75111,0.65073
0.77,0.7732,0.76831,0.64123
0.774,0.79408,0.75487,0.64444
0.778,0.79292,0.7514,0.63755
0.782,0.78654,0.74889,0.62956
0.786,0.79176,0.75458,0.63365
0.79,0.75812,0.74085,0.62717
0.794,0.78538,0.74321,0.62069
0.798,0.7819,0.73686,0.61748
0.802,0.7964,0.73885,0.62628
0.806,0.78364,0.7176,0.61767
0.81,0.75174,0.73339,0.61211
0.814,0.80278,0.72719,0.60069
0.818,0.7703,0.72262,0.60541
0.822,0.75,0.71671,0.60172
0.826,0.77842,0.71583,0.60474
0.83,0.72622,0.7249,0.60669
0.834,0.7529,0.70763,0.60239
0.838,0.72332,0.71081,0.59086
0.842,0.73376,0.70992,0.5906
0.846,0.74304,0.73553,0.59333
0.85,0.76624,0.71346,0.58939
0.854,0.68794,0.70557,0.58313
0.858,0.76798,0.70948,0.57978
0.862,0.72448,0.70652,0.58762
0.866,0.77494,0.70306,0.57477
0.87,0.73608,0.70283,0.57875
0.874,0.71288,0.68416,0.58125
